make,model,year,mileage_km,engine_cc,fuel_type,transmission,body_type,city,price_pkr
Nissan,Note,2012,237859.0,1200,CNG,Manual,Hatchback,Rawalpindi,496000
Suzuki,Margalla,2014,147806.0,1300,CNG,Manual,Sedan,Rawalpindi,913000
Toyota,Passo,2006,265881.0,1000,CNG,Automatic,Hatchback,Quetta,480000
Toyota,Yaris,2022,61579.0,1300,Petrol,Automatic,Sedan,Hyderabad,3961000
MG,HS,2018,98152.0,1500,Petrol,Automatic,SUV,Karachi,4213000
Suzuki,Cultus,2024,50489.0,1000,CNG,Manual,Hatchback,Peshawar,3497000
Kia,Stonic,2007,233959.0,1400,Petrol,Manual,SUV,Faisalabad,971000
Hyundai,Elantra,2019,101385.0,1600,Petrol,Automatic,Sedan,Sialkot,3596000
Suzuki,Mehran,2010,234200.0,800,Petrol,Manual,Hatchback,Rawalpindi,400000
Toyota,Corolla,2008,233138.0,1600,Petrol,Automatic,Sedan,Faisalabad,1247000
Suzuki,Jimny,2018,83762.0,1500,Petrol,Automatic,SUV,Quetta,3403000
Changan,Alsvin,2013,179561.0,1400,CNG,Automatic,Sedan,Peshawar,1207000
Suzuki,Mehran,2022,81740.0,800,CNG,Manual,Hatchback,Karachi,1479000
Suzuki,Bolan,2013,181216.0,800,Petrol,Manual,Van,Islamabad,551000
Daihatsu,Move,2021,39824.0,660,Petrol,Manual,Hatchback,Karachi,2370000
Toyota,LandCruiser,2022,79186.0,3300,Petrol,Automatic,SUV,Lahore,32111000
Hyundai,Santro,2004,287525.0,1000,Petrol,Manual,Hatchback,Multan,433000
Suzuki,Mehran,2013,108041.0,800,CNG,Manual,Hatchback,Faisalabad,829000
Nissan,Note,2024,24031.0,1200,CNG,Automatic,Hatchback,Karachi,1482000
Toyota,Corolla,2023,3000.0,1600,Petrol,Manual,Sedan,Lahore,5959000
Honda,City,2019,87266.0,1500,CNG,Manual,Sedan,Quetta,2702000
Changan,Oshan,2011,213610.0,1500,Petrol,Manual,SUV,Lahore,1964000
Toyota,Prius,2023,15927.0,1800,Hybrid,Automatic,Hybrid,Faisalabad,5465000
Toyota,Prius,2019,100465.0,1800,Hybrid,Automatic,Hybrid,Multan,2623000
Suzuki,Margalla,2016,138292.0,1300,Petrol,Manual,Sedan,Hyderabad,1286000
Kia,Stonic,2005,317087.0,1400,Petrol,Manual,SUV,Peshawar,751000
Toyota,Hilux,2007,254957.0,2800,Petrol,Automatic,Pickup,Multan,1725000
MG,ZS,2008,234980.0,1500,Diesel,Manual,SUV,Quetta,1254000
Suzuki,Margalla,2017,77653.0,1300,Petrol,Automatic,Sedan,Multan,1917000
Suzuki,Margalla,2011,209772.0,1300,Petrol,Manual,Sedan,Quetta,676000
Suzuki,Ravi,2021,33888.0,800,Petrol,Manual,Pickup,Multan,1250000
Kia,Sportage,2022,83523.0,2000,Petrol,Automatic,SUV,Lahore,6020000
Toyota,Yaris,2022,66489.0,1300,CNG,Manual,Sedan,Lahore,3170000
Toyota,Aqua,2017,122216.0,1500,Hybrid,Automatic,Hybrid,Islamabad,1857000
Honda,Accord,2018,168298.0,2400,CNG,Automatic,Sedan,Sialkot,1406000
Toyota,Corolla,2023,61224.0,1600,CNG,Manual,Sedan,Rawalpindi,5443000
Honda,BRV,2009,199711.0,1500,Petrol,Manual,SUV,Rawalpindi,1423000
Suzuki,Alto,2019,128495.0,660,CNG,Manual,Hatchback,Peshawar,1216000
Hyundai,Tucson,2013,137717.0,2000,Diesel,Automatic,SUV,Hyderabad,3157000
Toyota,LandCruiser,2016,165577.0,3300,Petrol,Automatic,SUV,Sialkot,17765000
Toyota,Corolla,2022,67023.0,1600,Petrol,Manual,Sedan,Islamabad,5037000
Toyota,Vitz,2017,101794.0,1000,Petrol,Manual,Hatchback,Lahore,1421000
Toyota,Corolla,2010,180369.0,1600,Petrol,Manual,Sedan,Lahore,1357000
Suzuki,Jimny,2008,251663.0,1500,Petrol,Automatic,SUV,Hyderabad,1157000
Honda,BRV,2024,45812.0,1500,Diesel,Manual,SUV,Lahore,5980000
Honda,City,2012,186516.0,1500,Petrol,Manual,Sedan,Hyderabad,1412000
Honda,Accord,2018,54978.0,2400,Petrol,Manual,Sedan,Quetta,1787000
Suzuki,Bolan,2006,257547.0,800,CNG,Manual,Van,Multan,400000
MG,ZS,2009,213419.0,1500,Petrol,Manual,SUV,Rawalpindi,1278000
Proton,X70,2008,280053.0,1500,Diesel,Automatic,SUV,Lahore,1501000
MG,ZS,2010,216755.0,1500,Diesel,Manual,SUV,Rawalpindi,1346000
Suzuki,Liana,2017,92472.0,1300,CNG,Automatic,Sedan,Lahore,1417000
Kia,Picanto,2020,96326.0,1000,Petrol,Manual,Hatchback,Lahore,2208000
Toyota,Prius,2012,161665.0,1800,Hybrid,Automatic,Hybrid,Peshawar,1540000
Suzuki,Ravi,2016,121596.0,800,Diesel,Manual,Pickup,Peshawar,794000
Kia,Sportage,2011,165967.0,2000,Diesel,Automatic,SUV,Lahore,2556000
Hyundai,Sonata,2019,108845.0,2000,Petrol,Manual,Sedan,Quetta,4955000
Suzuki,Ravi,2005,274509.0,800,Petrol,Manual,Pickup,Lahore,400000
Honda,Vezel,2021,59077.0,1500,Hybrid,Automatic,Hybrid,Sialkot,3909000
Suzuki,Liana,2022,61081.0,1300,CNG,Manual,Sedan,Karachi,2536000
Proton,Saga,2017,68636.0,1300,CNG,Automatic,Sedan,Peshawar,1447000
Kia,Stonic,2005,278804.0,1400,Petrol,Manual,SUV,Hyderabad,910000
Proton,X70,2012,193627.0,1500,Petrol,Automatic,SUV,Rawalpindi,2057000
Honda,Accord,2008,272232.0,2400,CNG,Automatic,Sedan,Quetta,665000
Hyundai,Elantra,2008,247962.0,1600,CNG,Manual,Sedan,Lahore,1412000
Toyota,Prado,2006,217400.0,2700,Diesel,Automatic,SUV,Quetta,4275000
Suzuki,Margalla,2017,134981.0,1300,Petrol,Manual,Sedan,Multan,1284000
Honda,City,2020,58186.0,1500,Petrol,Manual,Sedan,Rawalpindi,3368000
Honda,HRV,2023,49193.0,1500,Diesel,Automatic,SUV,Hyderabad,6157000
Honda,Vezel,2007,263963.0,1500,Hybrid,Automatic,Hybrid,Rawalpindi,1086000
Daihatsu,Move,2008,234363.0,660,Petrol,Manual,Hatchback,Sialkot,582000
Honda,City,2015,136121.0,1500,Petrol,Manual,Sedan,Islamabad,2041000
Kia,Picanto,2008,204948.0,1000,Petrol,Automatic,Hatchback,Rawalpindi,704000
Toyota,Fortuner,2018,120472.0,2800,Petrol,Automatic,SUV,Hyderabad,8177000
Toyota,LandCruiser,2009,208877.0,3300,Petrol,Automatic,SUV,Peshawar,9747000
Honda,City,2020,85912.0,1500,Petrol,Manual,Sedan,Hyderabad,3633000
Honda,HRV,2015,144663.0,1500,Petrol,Manual,SUV,Karachi,2267000
Suzuki,Baleno,2013,175971.0,1300,Petrol,Manual,Hatchback,Islamabad,822000
Toyota,Yaris,2010,224083.0,1300,CNG,Manual,Sedan,Rawalpindi,1066000
Kia,Sportage,2024,10454.0,2000,Petrol,Automatic,SUV,Karachi,8107000
Suzuki,WagonR,2018,108137.0,1000,Petrol,Automatic,Hatchback,Hyderabad,1644000
Nissan,Note,2023,43273.0,1200,CNG,Manual,Hatchback,Lahore,1433000
Honda,Accord,2017,116231.0,2400,CNG,Automatic,Sedan,Islamabad,1543000
Hyundai,Tucson,2015,121987.0,2000,Petrol,Automatic,SUV,Karachi,3781000
Changan,Alsvin,2011,175641.0,1400,Petrol,Manual,Sedan,Islamabad,905000
Honda,City,2021,42643.0,1500,Petrol,Manual,Sedan,Faisalabad,3239000
Toyota,Passo,2018,103070.0,1000,Petrol,Automatic,Hatchback,Sialkot,1494000
Hyundai,Elantra,2008,297374.0,1600,Petrol,Manual,Sedan,Karachi,1382000
Toyota,Prado,2021,40452.0,2700,Petrol,Automatic,SUV,Faisalabad,17927000
Toyota,Premio,2020,73724.0,1800,CNG,Automatic,Sedan,Karachi,2263000
Toyota,Yaris,2024,3000.0,1300,Petrol,Automatic,Sedan,Multan,4905000
Hyundai,Elantra,2019,76903.0,1600,Petrol,Manual,Sedan,Karachi,4107000
Honda,City,2013,193536.0,1500,CNG,Automatic,Sedan,Multan,1717000
Nissan,Dayz,2016,124083.0,660,Petrol,Manual,Hatchback,Faisalabad,872000
Suzuki,Khyber,2023,52578.0,1000,CNG,Automatic,Hatchback,Faisalabad,1878000
Suzuki,Ravi,2017,118065.0,800,Petrol,Manual,Pickup,Faisalabad,768000
Kia,Sportage,2006,241772.0,2000,Diesel,Automatic,SUV,Islamabad,1396000
Suzuki,Vitara,2004,274064.0,1600,Petrol,Automatic,SUV,Multan,1034000
Toyota,Prado,2020,129317.0,2700,Petrol,Automatic,SUV,Peshawar,13031000
Nissan,Note,2007,249288.0,1200,Petrol,Automatic,Hatchback,Rawalpindi,523000
Daihatsu,Move,2014,154980.0,660,CNG,Manual,Hatchback,Sialkot,953000
Toyota,LandCruiser,2015,143347.0,3300,Diesel,Automatic,SUV,Quetta,16768000
Changan,Oshan,2024,23412.0,1500,Diesel,Automatic,SUV,Rawalpindi,8127000
Toyota,Aqua,2018,111507.0,1500,Hybrid,Automatic,Hybrid,Faisalabad,1930000
Suzuki,Swift,2010,220128.0,1200,CNG,Automatic,Hatchback,Karachi,965000
Honda,HRV,2007,254977.0,1500,Diesel,Manual,SUV,Rawalpindi,1297000
Toyota,Aqua,2006,287984.0,1500,Hybrid,Automatic,Hybrid,Sialkot,694000
Suzuki,WagonR,2010,237690.0,1000,Petrol,Manual,Hatchback,Multan,737000
Toyota,Vitz,2011,173984.0,1000,Petrol,Manual,Hatchback,Karachi,841000
